"Series";"Time";"Value"
"BaseCallMarshaller";"2019-12-06T10:05:00+05:30";2
"BaseCallMarshaller";"2019-12-06T10:06:00+05:30";4
"BaseCallMarshaller";"2019-12-06T10:07:00+05:30";4
"BaseCallMarshaller";"2019-12-06T10:08:00+05:30";2
"BaseCallMarshaller";"2019-12-06T10:09:00+05:30";4
"BaseCallMarshaller";"2019-12-06T10:10:00+05:30";9
"BaseCallMarshaller";"2019-12-06T10:11:00+05:30";5
"BaseCallMarshaller";"2019-12-06T10:12:00+05:30";2
"BaseCallMarshaller";"2019-12-06T10:13:00+05:30";2
"BaseCallMarshaller";"2019-12-06T10:14:00+05:30";3
"BaseCallMarshaller";"2019-12-06T10:15:00+05:30";2
"BaseCallMarshaller";"2019-12-06T10:16:00+05:30";2
"BaseCallMarshaller";"2019-12-06T10:17:00+05:30";2
"BaseCallMarshaller";"2019-12-06T10:18:00+05:30";7
"BaseCallMarshaller";"2019-12-06T10:19:00+05:30";2
"BaseCallMarshaller";"2019-12-06T10:20:00+05:30";5
"BaseCallMarshaller";"2019-12-06T10:22:00+05:30";1
"BaseCallMarshaller";"2019-12-06T10:23:00+05:30";2
"BaseCallMarshaller";"2019-12-06T10:24:00+05:30";3
"BaseCallMarshaller";"2019-12-06T10:25:00+05:30";3
"BaseCallMarshaller";"2019-12-06T10:26:00+05:30";2
"BaseCallMarshaller";"2019-12-06T10:27:00+05:30";3
"BaseCallMarshaller";"2019-12-06T10:29:00+05:30";3
"BaseODataArtifactGroupProvider";"2019-12-06T10:03:00+05:30";1
"BaseODataArtifactGroupProvider";"2019-12-06T10:04:00+05:30";1
"BaseODataArtifactGroupProvider";"2019-12-06T10:13:00+05:30";1
"BaseODataArtifactGroupProvider";"2019-12-06T10:14:00+05:30";1
"BaseODataArtifactGroupProvider";"2019-12-06T10:18:00+05:30";2
"BaseODataArtifactGroupProvider";"2019-12-06T10:19:00+05:30";4
"BaseRevolutionQuickCardController";"2019-12-06T09:58:00+05:30";1
"BaseRevolutionQuickCardController";"2019-12-06T10:04:00+05:30";1
"BatchUploadPhotoJob";"2019-12-06T09:40:00+05:30";4
"BatchUploadPhotoJob";"2019-12-06T09:50:00+05:30";4
"BeanToGenericObject";"2019-12-06T10:25:00+05:30";1
"BeanToGenericObject";"2019-12-06T10:26:00+05:30";2
"BeanToGenericObject";"2019-12-06T10:27:00+05:30";1
"BeanUtils";"2019-12-06T09:35:00+05:30";5
"BeanUtils";"2019-12-06T09:36:00+05:30";14
"BeanUtils";"2019-12-06T09:37:00+05:30";5
"BirtReportCleanupUtil";"2019-12-06T09:52:00+05:30";1
"BoilerPlateServlet";"2019-12-06T09:36:00+05:30";5
"BoilerPlateServlet";"2019-12-06T09:37:00+05:30";5
"BoilerPlateServlet";"2019-12-06T09:38:00+05:30";3
"BoilerPlateServlet";"2019-12-06T09:39:00+05:30";1
"BoilerPlateServlet";"2019-12-06T09:40:00+05:30";4
"BoilerPlateServlet";"2019-12-06T09:41:00+05:30";2
"BoilerPlateServlet";"2019-12-06T09:42:00+05:30";6
"BoilerPlateServlet";"2019-12-06T09:43:00+05:30";1
"BoilerPlateServlet";"2019-12-06T09:45:00+05:30";2
"BoilerPlateServlet";"2019-12-06T09:46:00+05:30";2
"BoilerPlateServlet";"2019-12-06T09:47:00+05:30";2
"BoilerPlateServlet";"2019-12-06T09:49:00+05:30";1
"BoilerPlateServlet";"2019-12-06T09:50:00+05:30";1
"BoilerPlateServlet";"2019-12-06T09:51:00+05:30";4
"BoilerPlateServlet";"2019-12-06T09:52:00+05:30";1
"BoilerPlateServlet";"2019-12-06T09:53:00+05:30";1
"BoilerPlateServlet";"2019-12-06T09:54:00+05:30";8
"BoilerPlateServlet";"2019-12-06T09:55:00+05:30";2
"BoilerPlateServlet";"2019-12-06T09:56:00+05:30";1
"BoilerPlateServlet";"2019-12-06T09:57:00+05:30";4
